sheet,gaap
,FactorByWhichEachRSUGrantedReducesOrEachRSUCanceledOrShareWithheldForTaxesIncreasesSharesAvailableForGrant
,FairValueAssetsMeasuredOnRecurringBasis
,FairValueAssetsMeasuredOnRecurringBasisCashAndCashEquivalents
,FairValueAssetsMeasuredOnRecurringBasisDerivativeFinancialInstrumentsAssets
,FairValueAssetsMeasuredOnRecurringBasisMarketableSecuritiesCurrent
,FairValueAssetsMeasuredOnRecurringBasisMarketableSecuritiesNonCurrent
,FairValueAssetsMeasuredOnRecurringBasisOtherAssets
,FairValueConcentrationOfRiskDerivativeFinancialInstrumentsAssets
,FairValueHedgesAtFairValueNet
,FairValueLiabilitiesMeasuredOnRecurringBasis
,FairValueLiabilitiesMeasuredOnRecurringBasisDerivativeFinancialInstrumentsLiabilities
,FederalIncomeTaxExpenseBenefitContinuingOperations
,FederalIncomeTaxesProvidedonForeignPreTaxEarnings
,FinanceLeaseLiability
,FinanceLeaseLiabilityCurrent
,FinanceLeaseLiabilityNoncurrent
,FinanceLeaseLiabilityPaymentsDue
,FinanceLeaseLiabilityPaymentsDueAfterYearFive
,FinanceLeaseLiabilityPaymentsDueNextTwelveMonths
,FinanceLeaseLiabilityPaymentsDueYearFive
,FinanceLeaseLiabilityPaymentsDueYearFour
,FinanceLeaseLiabilityPaymentsDueYearThree
,FinanceLeaseLiabilityPaymentsDueYearTwo
,FinanceLeaseLiabilityPaymentsRemainderOfFiscalYear
,FinanceLeaseLiabilityUndiscountedExcessAmount
,FinanceLeaseRightOfUseAsset
,FiniteLivedIntangibleAssetsAccumulatedAmortization
,FiniteLivedIntangibleAssetsAmortizationExpense
,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive
,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths
,FiniteLivedIntangibleAssetsAmortizationExpenseThereafter
,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive
,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour
,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree
,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo
,FiniteLivedIntangibleAssetsGross
,FiniteLivedIntangibleAssetsNet
,FiniteLivedIntangibleAssetsUsefulLifeMaximum
,FiniteLivedIntangibleAssetsUsefulLifeMinimum
,ForeignCurrencyDerivativeAssetsAtFairValue
,ForeignCurrencyDerivativeInstrumentsDesignatedAsHedgingInstrumentsAssetAtFairValue
,ForeignCurrencyDerivativeInstrumentsDesignatedAsHedgingInstrumentsLiabilityAtFairValue
,ForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstrumentsAssetAtFairValue
,ForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstrumentsLiabilityAtFairValue
,ForeignCurrencyDerivativeLiabilitiesAtFairValue
,ForeignCurrencyFairValueDerivativeLiabilitiesAtFairValue
,ForeignCurrencyFairValueHedgeAssetAtFairValue
